iter	Passed	Remaining
0	11	1094
1	15	762
2	18	610
3	22	542
4	26	495
5	29	466
6	32	430
7	35	413
8	40	406
9	44	396
10	46	376
11	49	365
12	53	355
13	56	344
14	59	335
15	63	333
16	67	329
17	71	325
18	74	317
19	77	311
20	82	309
21	85	303
22	88	296
23	91	290
24	95	285
25	97	277
26	99	269
27	103	265
28	106	260
29	109	255
30	111	248
31	113	242
32	117	238
33	121	234
34	125	232
35	128	228
36	131	223
37	134	220
38	138	216
39	141	212
40	144	208
41	149	205
42	151	201
43	154	196
44	156	190
45	158	185
46	161	182
47	165	179
48	170	177
49	173	173
50	178	171
51	183	169
52	186	164
53	190	161
54	194	159
55	198	156
56	201	152
57	205	148
58	210	146
59	213	142
60	219	140
61	223	136
62	227	133
63	231	130
64	235	126
65	239	123
66	242	119
67	245	115
68	249	112
69	252	108
70	255	104
71	258	100
72	263	97
73	265	93
74	268	89
75	270	85
76	274	82
77	278	78
78	281	74
79	284	71
80	288	67
81	298	65
82	307	62
83	316	60
84	321	56
85	328	53
86	332	49
87	337	45
88	340	42
89	344	38
90	349	34
91	352	30
92	356	26
93	361	23
94	364	19
95	367	15
96	369	11
97	372	7
98	375	3
99	378	0
